artist_count,released_year,streams,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_encoded,mode_encoded
1,2007,1217120710,13985,25,30,80,588,140,52,20,85,0,0,7,5,0,0
4,2023,109276132,1051,16,31,37,31,140,63,22,54,46,0,12,8,0,0
3,2022,276259178,1682,46,24,90,30,119,75,48,53,18,0,18,34,4,1
5,2023,54225632,182,8,3,88,1,110,76,96,72,32,0,9,4,10,1
1,2017,2559529074,16596,13,7,0,2094,95,60,17,45,16,0,11,2,11,0
1,2022,681583126,2335,23,82,55,50,132,56,20,55,45,1,32,3,9,0
1,2017,2594040133,18986,23,250,121,2969,125,77,74,78,4,0,23,11,2,1
4,2023,81102253,283,7,6,9,26,124,84,65,50,67,0,13,6,6,1
2,2023,11956641,293,8,5,2,30,133,93,68,65,42,0,12,25,3,1
1,2002,1687664027,21081,43,98,76,3889,112,92,67,66,0,0,36,9,10,0
3,2023,11599388,437,31,17,29,26,97,79,92,89,5,0,6,5,0,0
2,2016,611700552,1275,32,13,8,5,90,59,52,48,38,5,10,11,8,1
2,2022,1133865788,6135,38,71,113,99,80,65,27,69,8,0,53,4,6,1
1,2004,1089402494,20015,16,107,69,5239,172,45,33,59,6,0,8,3,1,0
1,2019,411747614,1507,14,24,71,44,120,60,24,35,73,0,31,3,7,0
1,2023,255932395,539,21,7,71,4,140,74,96,80,18,0,5,5,10,1
1,2023,31873544,86,8,7,76,3,128,81,90,77,1,0,9,5,1,1
1,2023,95053634,324,14,13,110,8,122,78,70,81,57,0,10,5,0,0
2,2010,1279434863,17138,37,119,81,974,130,47,86,92,8,0,5,24,0,0
2,2023,233801632,894,9,14,88,66,160,69,61,71,33,0,31,20,1,0
1,2012,1481349984,1622,9,0,0,356,144,73,87,70,6,0,28,5,8,0
3,2023,142095275,561,14,4,14,12,192,50,85,52,11,0,28,6,3,0
2,2022,618885532,5871,27,81,121,58,163,54,40,67,0,0,9,17,0,0
1,2013,2011464183,29215,43,179,97,3394,122,66,48,71,6,0,12,4,4,1
1,2021,1167330737,5866,24,107,38,95,154,61,41,74,21,0,40,6,5,0
1,2019,929964809,3859,26,133,181,3,117,73,31,69,6,0,11,4,1,1
2,2023,436027885,961,26,19,143,10,138,78,89,83,10,0,12,5,10,1
1,2004,657723613,6457,18,98,95,453,96,86,74,80,33,0,8,6,0,0
3,2016,2713922350,43257,24,433,107,3631,104,77,36,63,1,0,36,5,4,0
1,2010,621660989,4564,16,24,101,113,164,45,24,62,8,0,16,3,11,0
1,2020,1591223784,12688,13,197,115,112,118,68,61,82,2,0,50,3,0,0
1,2010,950906471,13801,19,137,125,435,81,68,51,60,3,0,19,10,3,1
1,1983,1593270737,22439,19,211,74,929,117,82,73,45,54,0,7,3,4,0
1,2015,1410088830,18515,35,70,82,939,174,45,10,37,97,25,64,4,5,0
2,2011,1235005533,36843,21,321,91,4607,128,73,60,77,3,0,11,4,4,0
1,2012,1661187319,2420,11,0,0,806,145,60,43,27,94,0,14,4,0,0
1,2018,1374581173,5897,19,0,0,885,150,65,51,55,73,0,14,3,4,1
3,2023,94186466,727,16,17,60,28,90,60,13,53,4,0,21,4,1,1
1,2013,1788326445,33783,26,133,92,2733,85,55,42,53,17,0,22,3,8,0
1,2012,1840364617,26694,13,65,82,3425,180,33,38,71,20,0,28,5,6,0
1,2023,143573775,356,16,35,102,8,166,57,84,94,11,0,37,9,4,0
1,2016,684675814,6518,17,45,85,238,160,71,40,50,16,0,16,22,11,0
1,2014,1113838873,21335,13,328,70,1378,160,65,95,80,5,0,41,16,10,0
1,2013,1267333350,23389,29,54,70,1089,92,70,81,63,4,0,8,4,5,0
1,2022,726307468,3202,18,148,80,226,170,56,53,64,11,0,45,6,0,0
1,2017,3562543890,32181,10,33,0,6808,96,83,93,65,58,0,9,8,4,1
1,2014,1131090940,7124,18,60,20,2,120,67,40,52,86,0,12,4,11,0
2,2023,307370144,592,14,11,84,6,98,70,37,54,6,0,9,8,0,0
1,1992,1271293243,36724,7,146,72,6807,92,53,12,34,1,0,12,4,10,0
1,2019,265882712,794,10,38,25,61,150,34,24,56,4,0,11,3,1,0
1,2017,841749534,13091,17,61,96,790,94,37,17,47,2,46,11,3,8,0
1,2023,47956378,67,8,7,10,0,90,74,36,63,26,0,27,5,7,1
